0x00,Austin
0x01,Cliff
0x05,Collin
0x06,Zach
0x09,Austin
0x0d,Cliff
0x0e,Collin
0x0f,Zach
0x11,Austin
0x13,Cliff
0x19,Collin
0x1a,Zach
0x21,Austin
0x23,Cliff
0x26,Collin
0x29,Zach
0x31,Austin
0x32,Cliff
0x36,Collin
0x3a,Zach
0x3e,Austin
0x56,Cliff
0x5e,Collin
0x66,Zach
0x6f,Austin
0x77,Cliff
0x7a,Collin
0x7b,Zach
0x7c,Austin
0x7e,Cliff
0xa7,Collin
0xaf,Zach
0xc1,Austin
0xc2,Cliff
0xc3,Collin
0xc5,Zach
0xc6,Austin
0xc9,Cliff
0xcd,Collin
0xd1,Zach
0xd3,Austin
0xd5,Cliff
0xe1,Collin
0xe5,Zach
0xe6,Austin
0xeb,Cliff
0xf1,Collin
0xf5,Zach
0xfb,Austin
0xfe,Cliff
